Micro Citation,Micro Citation Name,Macro Citation,Macro Citation Name,Social Harm,# Charges (Grand Total),% All Charges (For Any Offense),% Charges by Race (Black),% Charges by Race (White),% Charges by Race (Hispanic),% Charges by Race (Asian),% Charges by Race (Native American),% Charges by Race (Native Hawiian or Pacific Islander),% Charges by Race (Other),% Charges by Race (Unknown),% Charges by Race (Missing Data),% Charges by Gender (Male),% Charges by Gender (Female),% Charges by Gender (Missing Data),% Charges Attempted,% Charges Enhanced (Any),% Charges Enhanced (Armed),% Charges Enhanced (not Armed),% Charges Diverted,% Charges Deferred,% Charges with Conspiracy Charge in Case,% Charges with a Crime of Violence in Case,% Charges with Conviction in Case for Any Charge,% Charges Resulting in Convictions,# Convictions (Grand Total),% All Convictions (For Any Offense),% Convictions by Race (Black),% Convictions by Race (White),% Convictions by Race (Hispanic),% Convictions by Race (Asian),% Convictions by Race (Native American),% Convictions by Race (Native Hawiian or Pacific Islander),% Convictions by Race (Other),% Convictions by Race (Unknown),% Convictions by Race (Missing Data),% Convictions by Gender (Male),% Convictions by Gender (Female),% Convictions by Gender (Missing Data),% Convictions by Guilty Plea,% Convictions Attempted,% Convictions Enhanced (Any),% Convictions Enhanced (Armed),% Convictions Enhanced (not Armed),% Convictions with Conspiracy Charge in Case,% Convictions with a Crime of Violence in Case,% Convictions to Serve Consecutively to Any Other Conviction by Defendant [in conviction group],% Convictions that are Only Conviction of Defendant in Conviction Group,% Convictions with more than one conviction of Defendant with No Consecutive Service in Conviction Group,% Convictions with Time Served Sentence,% Convictions with Life Sentence,(All) Total Months Sentenced to Confinement 0.025 quantile,(All) Total Months Sentenced to Confinement 0.05 quantile,(All) Total Months Sentenced to Confinement 0.1 quantile,(All) Total Months Sentenced to Confinement 0.25 quantile,(All) Total Months Sentenced to Confinement 0.5 quantile,(All) Total Months Sentenced to Confinement 0.75 quantile,(All) Total Months Sentenced to Confinement 0.9 quantile,(All) Total Months Sentenced to Confinement 0.95 quantile,(All) Total Months Sentenced to Confinement 0.975 quantile,(All) Total Months Actually to Serve 0.025 quantile,(All) Total Months Actually to Serve 0.05 quantile,(All) Total Months Actually to Serve 0.1 quantile,(All) Total Months Actually to Serve 0.25 quantile,(All) Total Months Actually to Serve 0.5 quantile,(All) Total Months Actually to Serve 0.75 quantile,(All) Total Months Actually to Serve 0.9 quantile,(All) Total Months Actually to Serve 0.95 quantile,(All) Total Months Actually to Serve 0.975 quantile,(Enhanced/Non-Attempt) Total Months Sentenced to Confinement 0.025 quantile,(Enhanced/Non-Attempt) Total Months Sentenced to Confinement 0.05 quantile,(Enhanced/Non-Attempt) Total Months Sentenced to Confinement 0.1 quantile,(Enhanced/Non-Attempt) Total Months Sentenced to Confinement 0.25 quantile,(Enhanced/Non-Attempt) Total Months Sentenced to Confinement 0.5 quantile,(Enhanced/Non-Attempt) Total Months Sentenced to Confinement 0.75 quantile,(Enhanced/Non-Attempt) Total Months Sentenced to Confinement 0.9 quantile,(Enhanced/Non-Attempt) Total Months Sentenced to Confinement 0.95 quantile,(Enhanced/Non-Attempt) Total Months Sentenced to Confinement 0.975 quantile,(Enhanced/Non-Attempt) Total Months Actually to Serve 0.025 quantile,(Enhanced/Non-Attempt) Total Months Actually to Serve 0.05 quantile,(Enhanced/Non-Attempt) Total Months Actually to Serve 0.1 quantile,(Enhanced/Non-Attempt) Total Months Actually to Serve 0.25 quantile,(Enhanced/Non-Attempt) Total Months Actually to Serve 0.5 quantile,(Enhanced/Non-Attempt) Total Months Actually to Serve 0.75 quantile,(Enhanced/Non-Attempt) Total Months Actually to Serve 0.9 quantile,(Enhanced/Non-Attempt) Total Months Actually to Serve 0.95 quantile,(Enhanced/Non-Attempt) Total Months Actually to Serve 0.975 quantile,(Unenhanced/Non-Attempt) Total Months Sentenced to Confinement 0.025 quantile,(Unenhanced/Non-Attempt) Total Months Sentenced to Confinement 0.05 quantile,(Unenhanced/Non-Attempt) Total Months Sentenced to Confinement 0.1 quantile,(Unenhanced/Non-Attempt) Total Months Sentenced to Confinement 0.25 quantile,(Unenhanced/Non-Attempt) Total Months Sentenced to Confinement 0.5 quantile,(Unenhanced/Non-Attempt) Total Months Sentenced to Confinement 0.75 quantile,(Unenhanced/Non-Attempt) Total Months Sentenced to Confinement 0.9 quantile,(Unenhanced/Non-Attempt) Total Months Sentenced to Confinement 0.95 quantile,(Unenhanced/Non-Attempt) Total Months Sentenced to Confinement 0.975 quantile,(Unenhanced/Non-Attempt) Total Months Actually to Serve 0.025 quantile,(Unenhanced/Non-Attempt) Total Months Actually to Serve 0.05 quantile,(Unenhanced/Non-Attempt) Total Months Actually to Serve 0.1 quantile,(Unenhanced/Non-Attempt) Total Months Actually to Serve 0.25 quantile,(Unenhanced/Non-Attempt) Total Months Actually to Serve 0.5 quantile,(Unenhanced/Non-Attempt) Total Months Actually to Serve 0.75 quantile,(Unenhanced/Non-Attempt) Total Months Actually to Serve 0.9 quantile,(Unenhanced/Non-Attempt) Total Months Actually to Serve 0.95 quantile,(Unenhanced/Non-Attempt) Total Months Actually to Serve 0.975 quantile,(Has Consecutive Sentence in Case) Total Months Sentenced to Confinement 0.025 quantile,(Has Consecutive Sentence in Case) Total Months Sentenced to Confinement 0.05 quantile,(Has Consecutive Sentence in Case) Total Months Sentenced to Confinement 0.1 quantile,(Has Consecutive Sentence in Case) Total Months Sentenced to Confinement 0.25 quantile,(Has Consecutive Sentence in Case) Total Months Sentenced to Confinement 0.5 quantile,(Has Consecutive Sentence in Case) Total Months Sentenced to Confinement 0.75 quantile,(Has Consecutive Sentence in Case) Total Months Sentenced to Confinement 0.9 quantile,(Has Consecutive Sentence in Case) Total Months Sentenced to Confinement 0.95 quantile,(Has Consecutive Sentence in Case) Total Months Sentenced to Confinement 0.975 quantile,(Has Consecutive Sentence in Case) Total Months Actually to Serve 0.025 quantile,(Has Consecutive Sentence in Case) Total Months Actually to Serve 0.05 quantile,(Has Consecutive Sentence in Case) Total Months Actually to Serve 0.1 quantile,(Has Consecutive Sentence in Case) Total Months Actually to Serve 0.25 quantile,(Has Consecutive Sentence in Case) Total Months Actually to Serve 0.5 quantile,(Has Consecutive Sentence in Case) Total Months Actually to Serve 0.75 quantile,(Has Consecutive Sentence in Case) Total Months Actually to Serve 0.9 quantile,(Has Consecutive Sentence in Case) Total Months Actually to Serve 0.95 quantile,(Has Consecutive Sentence in Case) Total Months Actually to Serve 0.975 quantile,(Only Conviction in Case) Total Months Sentenced to Confinement 0.025 quantile,(Only Conviction in Case) Total Months Sentenced to Confinement 0.05 quantile,(Only Conviction in Case) Total Months Sentenced to Confinement 0.1 quantile,(Only Conviction in Case) Total Months Sentenced to Confinement 0.25 quantile,(Only Conviction in Case) Total Months Sentenced to Confinement 0.5 quantile,(Only Conviction in Case) Total Months Sentenced to Confinement 0.75 quantile,(Only Conviction in Case) Total Months Sentenced to Confinement 0.9 quantile,(Only Conviction in Case) Total Months Sentenced to Confinement 0.95 quantile,(Only Conviction in Case) Total Months Sentenced to Confinement 0.975 quantile,(Only Conviction in Case) Total Months Actually to Serve 0.025 quantile,(Only Conviction in Case) Total Months Actually to Serve 0.05 quantile,(Only Conviction in Case) Total Months Actually to Serve 0.1 quantile,(Only Conviction in Case) Total Months Actually to Serve 0.25 quantile,(Only Conviction in Case) Total Months Actually to Serve 0.5 quantile,(Only Conviction in Case) Total Months Actually to Serve 0.75 quantile,(Only Conviction in Case) Total Months Actually to Serve 0.9 quantile,(Only Conviction in Case) Total Months Actually to Serve 0.95 quantile,(Only Conviction in Case) Total Months Actually to Serve 0.975 quantile,(> 1 Conviction and No Consecutive in Case) Total Months Sentenced to Confinement 0.025 quantile,(> 1 Conviction and No Consecutive in Case) Total Months Sentenced to Confinement 0.05 quantile,(> 1 Conviction and No Consecutive in Case) Total Months Sentenced to Confinement 0.1 quantile,(> 1 Conviction and No Consecutive in Case) Total Months Sentenced to Confinement 0.25 quantile,(> 1 Conviction and No Consecutive in Case) Total Months Sentenced to Confinement 0.5 quantile,(> 1 Conviction and No Consecutive in Case) Total Months Sentenced to Confinement 0.75 quantile,(> 1 Conviction and No Consecutive in Case) Total Months Sentenced to Confinement 0.9 quantile,(> 1 Conviction and No Consecutive in Case) Total Months Sentenced to Confinement 0.95 quantile,(> 1 Conviction and No Consecutive in Case) Total Months Sentenced to Confinement 0.975 quantile,(> 1 Conviction and No Consecutive in Case) Total Months Actually to Serve 0.025 quantile,(> 1 Conviction and No Consecutive in Case) Total Months Actually to Serve 0.05 quantile,(> 1 Conviction and No Consecutive in Case) Total Months Actually to Serve 0.1 quantile,(> 1 Conviction and No Consecutive in Case) Total Months Actually to Serve 0.25 quantile,(> 1 Conviction and No Consecutive in Case) Total Months Actually to Serve 0.5 quantile,(> 1 Conviction and No Consecutive in Case) Total Months Actually to Serve 0.75 quantile,(> 1 Conviction and No Consecutive in Case) Total Months Actually to Serve 0.9 quantile,(> 1 Conviction and No Consecutive in Case) Total Months Actually to Serve 0.95 quantile,(> 1 Conviction and No Consecutive in Case) Total Months Actually to Serve 0.975 quantile,% Time to Serve for All Offenses,% Time Imposed for All Offenses,% Time to Serve Modulated to Account for Concurrent Sentences,% Time Imposed Modulated to Account for Concurrent Sentences
22DC404(a)(1),Simple Assault,22DC404(a)(1),Simple Assault,PERSON,2459,14.80%,0.823912159,0.129,0.2,0.009,0.2,< 25%,None,2.80%,0.80%,71.20%,28.00%,< 25%,< 25%,< 25%,None,< 25%,4.60%,12.40%,< 25%,2.00%,44.40%,33.30%,820,15.80%,0.861,0.098,None,0.2,None,None,None,2.70%,< 25%,73.40%,26.20%,< 25%,77.10%,< 25%,< 25%,None,< 25%,< 25%,3.50%,8.50%,56.00%,35.50%,9.00%,None,0,0.3,0.5,1,2,4,6,6,6,0,0,0,0,0,0.2,2,3,4.2,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0.3,0.5,1,2,4,6,6,6,0,0,0,0,0,0.2,2,3,4.3,0.1,0.3,0.3,1,3,6,6,6,6,0.1,0.3,0.3,0.8,1,3,6,6,6,0,0,0,0.7,1.5,3,6,6,6,0,0,0,0,0,0,1.1,3,4,0,0,0.5,1,2,4,6,6,6,0,0,0,0,0,0,0.5,1,2,1.20%,4.70%,1.20%,1.20%
22DC3212(b),Theft Second Degree,22DC3212,Theft,PROPERTY,1538,9.30%,0.881014304,0.093,None,0.2,0.2,None,None,1.40%,< 25%,82.50%,16.80%,< 25%,4.60%,< 25%,None,< 25%,6.20%,6.30%,None,2.40%,49.80%,37.30%,574,11.10%,0.929,0.061,None,0.2,0.2,None,None,< 25%,< 25%,85.40%,13.80%,< 25%,93.70%,< 25%,None,None,None,None,< 25%,9.80%,66.60%,23.70%,15.20%,None,0,0,0.3,0.6,1,3,6,6,6,0,0,0,0,0,0.7,2,3,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.6,1,3,6,6,6,0,0,0,0,0,0.7,1.8,3,3,0.3,0.4,0.5,1,3,6,6,6,6,0,0.2,0.4,0.7,1,3,5,6,6,0,0,0,0.2,1,2,3,6,6,0,0,0,0,0,0.2,1,2,2,0,0,0,0.5,1,3,5,6,6,0,0,0,0,0,0,1,1.5,3,0.80%,2.00%,0.80%,0.80%
48DC904.01(d)(1),Controlled Substance Possession (Misdemeanor),48DC904.01(d)(1),Controlled Substance Possession,DRUG,1167,7.00%,0.902313625,0.075,None,0.2,None,None,None,< 25%,< 25%,86.60%,12.80%,< 25%,< 25%,< 25%,None,< 25%,5.40%,2.10%,None,11.30%,52.80%,40.30%,470,9.10%,0.926,0.062,None,None,None,None,None,< 25%,< 25%,84.90%,14.30%,< 25%,96.00%,< 25%,< 25%,None,< 25%,None,15.30%,< 25%,79.60%,17.70%,14.30%,None,0,0,0,0.7,1.5,3,4,6,6,0,0,0,0,0,0,0.7,1.5,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,1.5,3,4.3,6,6,0,0,0,0,0,0,0.6,1.5,2.3,0.1,0.2,0.5,1,1,1.5,5.1,6,6,0.1,0.2,0.4,0.5,1,1.5,2.7,4.2,5.1,0,0,0,0,1,2.5,4,6,6,0,0,0,0,0,0,0.3,1,1.5,0,0,0,0.7,1.5,3,6,6,6,0,0,0,0,0,0,0.4,1,2,0.20%,1.40%,0.20%,0.20%
22DC4504(a)(1)-Y,Carrying Dangerous Weapon (Pistol) (Outside home or business),22DC4504(a),Carrying Dangerous Weapon,WEAPON,489,3.00%,0.879345603,0.096,None,None,None,None,None,< 25%,< 25%,96.30%,< 25%,< 25%,4.30%,< 25%,None,< 25%,None,< 25%,< 25%,19.60%,63.40%,51.30%,251,4.80%,0.896,0.084,None,None,None,None,None,< 25%,< 25%,96.40%,< 25%,< 25%,93.60%,8.00%,< 25%,None,< 25%,None,22.30%,< 25%,66.90%,26.30%,< 25%,None,0,0,1,6,9,12,15,22.6,24,0,0,0,0,0,0,6,12,17.6,8,8.1,8.2,8.5,9,9.5,9.8,9.9,10,0.2,0.5,1,2.5,5,7.5,9,9.5,9.8,0,0,6,6,9,12,16,24,24,0,0,0,0,0,0,6,13.2,18,10,10,11.2,12,14,20,24,31.2,45.6,4.2,5.4,6,10,12,12,21.6,31.2,45.6,0,0,1,6,8,12,12,14,18,0,0,0,0,0,0,0,1.4,6,0,0,3,6,12,12,19,24,24,0,0,0,0,0,0,6,17,18.8,1.20%,4.40%,1.10%,1.20%
22DC402-Y,Assault with Intent to Commit Mayhem or with a Dangerous Weapon (Dangerous Weapon),22DC402,Assault with Intent to Commit Mayhem or with a Dangerous Weapon,PERSON,367,2.20%,0.910081744,0.063,None,0.2,None,None,None,< 25%,< 25%,87.70%,12.30%,None,25.10%,< 25%,< 25%,< 25%,< 25%,None,< 25%,100.00%,70.30%,47.40%,174,3.40%,0.908,0.2,None,None,None,None,None,< 25%,< 25%,89.70%,< 25%,None,93.70%,52.30%,< 25%,< 25%,< 25%,< 25%,100.00%,23.60%,54.00%,22.40%,None,None,0,0,0,12,23.5,30,48,60,60,0,0,0,0,9,24,42,52,60,24,24,24,24,42,60,60,60,60,19.4,19.8,20.5,22.8,24,33,49.2,54.6,57.3,0,0,0,18,30,48,60,60,60.6,0,0,0,0,20,42,51.6,60,60,6,12,12,18,24,38,51,60,60,3,4,6,14,20,30,48,57,60,0,0,0,12,23.5,28,46.2,52,59,0,0,0,0,6,19.5,34.2,49,56,0,0,0,5.3,20,30,60,60,60,0,0,0,0,0,18,41,49.2,60,7.40%,7.60%,7.30%,7.30%
22DC407,Threats to Do Bodily Harm,22DC407,Threats to Do Bodily Harm,PERSON,662,4.00%,0.897280967,0.071,None,0.2,None,None,None,< 25%,< 25%,77.50%,21.90%,< 25%,90.90%,< 25%,None,< 25%,8.20%,6.60%,None,< 25%,40.60%,26.10%,173,3.30%,0.919,0.2,None,None,None,None,None,< 25%,< 25%,76.30%,22.00%,< 25%,61.30%,94.20%,None,None,None,None,< 25%,< 25%,60.10%,34.10%,12.10%,None,0,0.3,0.3,1,1.5,3,4,6,6,0,0,0,0,0,0,1,1.8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.5,1,2,3.6,4.8,5.4,0,0,0,0,0,0.5,1.2,1.6,1.8,0.4,0.4,0.5,1,2.2,4,5.1,5.5,5.8,0.4,0.4,0.5,1,1.5,2.6,5.1,5.5,5.8,0,0,0,0.3,1,2,3.7,6,6,0,0,0,0,0,0,0.8,1,2,0,0,0,0.5,1.3,3,4,4.2,6,0,0,0,0,0,0,0.1,0.5,1.2,0.10%,0.50%,0.10%,0.10%
22DC303-M,Destruction of Property less than $1000,22DC303,Destruction of Property,PROPERTY,587,3.50%,0.853492334,0.116,None,0.2,None,None,None,< 25%,None,77.30%,22.30%,< 25%,< 25%,< 25%,None,< 25%,10.10%,9.00%,None,4.90%,46.00%,29.10%,171,3.30%,0.936,0.2,None,None,None,None,None,< 25%,None,83.00%,17.00%,None,88.30%,< 25%,< 25%,None,< 25%,None,< 25%,< 25%,49.10%,44.40%,11.70%,None,0,0.1,0.3,1,2,3,6,6,6,0,0,0,0,0,0.1,1.5,3,3.5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0.1,0.3,1,2,3,6,6,6,0,0,0,0,0,0.1,1.5,3,3.3,0.4,0.6,1,1,2,4.5,6,6,6,0.2,0.2,0.2,0.6,1,1.8,6,6,6,0,0,0,0,1,2,3,3.8,6,0,0,0,0,0,0,0.6,1.4,2.9,0,0,0.8,1,3,4,6,6,6,0,0,0,0,0,0,1.4,3.1,3.4,0.20%,0.80%,0.20%,0.10%
22DC2701,Prostitution or Solicitation for Prostitution (Solicitation),22DC2701,Prostitution or Solicitation for Prostitution,PUBLIC ORDER,704,4.30%,0.703125,0.217,None,0.2,None,None,None,5.80%,< 25%,80.80%,18.30%,< 25%,None,None,None,None,47.30%,2.80%,None,< 25%,22.70%,22.00%,155,3.00%,0.871,0.2,None,None,None,None,None,< 25%,< 25%,61.90%,36.80%,< 25%,85.80%,None,None,None,None,None,None,None,98.70%,< 25%,44.50%,None,0,0,0.1,0.2,0.5,1,2,3,5.6,0,0,0,0,0,0,0.3,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.5,1,2,3,5.6,0,0,0,0,0,0,0.3,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,2,3,0,0,0,0,0,0,0,0.4,1,1,1,1,1.1,1.2,1.4,1.4,1.5,1.5,0,0,0,0,0,0,0,0,0,0.00%,0.20%,0.00%,0.00%
23DC1327(a)(2),Failure to Appear Before Court (Misdemeanor),23DC1327(a),Failure to Appear Before Court,GOVERNMENT,941,5.70%,0.88522848,0.096,None,0.2,0.2,None,None,< 25%,< 25%,78.20%,21.70%,< 25%,None,None,None,None,< 25%,< 25%,None,None,15.60%,15.20%,143,2.80%,0.888,0.2,None,None,None,None,None,< 25%,None,78.30%,21.70%,None,91.60%,None,None,None,None,None,None,< 25%,85.30%,< 25%,< 25%,None,0,0,3,3,3,3,3,3,5,0,0,0,0,0,0,1.5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,5,0,0,0,0,0,0,1.5,3,3,3,3,3,3,3,3,3,3,3,0,0,0.1,0.2,0.5,1.8,2.5,2.8,2.9,0,0,3,3,3,3,3,3,4,0,0,0,0,0,0,1.5,3,3,3,3,3,3,3,3,3,3.4,4.7,0,0,0,0,0,0,0.8,1.3,2.1,0.10%,0.80%,0.10%,0.10%
22DC4503(a)(1),Unlawful Possession of a Firearm (Prior Conviction),22DC4503,Unlawful Possession of a Firearm,WEAPON,323,2.00%,0.962848297,0.2,None,0.2,None,None,None,< 25%,None,98.80%,< 25%,None,None,< 25%,< 25%,< 25%,None,None,< 25%,31.90%,57.60%,42.40%,137,2.60%,0.971,0.2,None,None,None,None,None,< 25%,None,99.30%,< 25%,None,88.30%,None,< 25%,< 25%,< 25%,< 25%,35.80%,21.20%,54.00%,24.80%,None,None,0,0,0,12,16,20,24,32,32,0,0,0,12,12,15,20.8,24,26.4,0.6,1.2,2.4,6,12,15,16.8,17.4,17.7,0.6,1.2,2.4,6,12,12,12,12,12,0,0,0,12.1,16,20,24,32,32,0,0,0,12,12,15.8,21.4,24,26.7,12,12,12,14,18,24,32,34.4,36,12,12,12,12,14,18,25.6,34.4,36,0,0,0,12,18,20,24,30.7,32,0,0,0,12,12,14,19.4,23.3,24,0,0,0,12,14,19.5,24,24,24.3,0,0,0,0,12,14,18,21.4,24,4.80%,4.10%,4.70%,4.60%
