Micro Citation,Micro Citation Name,Macro Citation,Macro Citation Name,Social Harm,# Charges (Grand Total),% All Charges (For Any Offense),% Charges by Race (Black),% Charges by Race (White),% Charges by Race (Hispanic),% Charges by Race (Asian),% Charges by Race (Native American),% Charges by Race (Native Hawiian or Pacific Islander),% Charges by Race (Other),% Charges by Race (Unknown),% Charges by Race (Missing Data),% Charges by Gender (Male),% Charges by Gender (Female),% Charges by Gender (Missing Data),% Charges Attempted,% Charges Enhanced (Any),% Charges Enhanced (Armed),% Charges Enhanced (not Armed),% Charges Diverted,% Charges Deferred,% Charges with Conspiracy Charge in Case,% Charges with a Crime of Violence in Case,% Charges with Conviction in Case for Any Charge,% Charges Resulting in Convictions,# Convictions (Grand Total),% All Convictions (For Any Offense),% Convictions by Race (Black),% Convictions by Race (White),% Convictions by Race (Hispanic),% Convictions by Race (Asian),% Convictions by Race (Native American),% Convictions by Race (Native Hawiian or Pacific Islander),% Convictions by Race (Other),% Convictions by Race (Unknown),% Convictions by Race (Missing Data),% Convictions by Gender (Male),% Convictions by Gender (Female),% Convictions by Gender (Missing Data),% Convictions by Guilty Plea,% Convictions Attempted,% Convictions Enhanced (Any),% Convictions Enhanced (Armed),% Convictions Enhanced (not Armed),% Convictions with Conspiracy Charge in Case,% Convictions with a Crime of Violence in Case,% Convictions to Serve Consecutively to Any Other Conviction by Defendant [in conviction group],% Convictions that are Only Conviction of Defendant in Conviction Group,% Convictions with more than one conviction of Defendant with No Consecutive Service in Conviction Group,% Convictions with Time Served Sentence,% Convictions with Life Sentence,(All) Total Months Sentenced to Confinement 0%.0%25 quantile,(All) Total Months Sentenced to Confinement 0%.0%5 quantile,(All) Total Months Sentenced to Confinement 0%.1 quantile,(All) Total Months Sentenced to Confinement 0%.25 quantile,(All) Total Months Sentenced to Confinement 0%.5 quantile,(All) Total Months Sentenced to Confinement 0%.75 quantile,(All) Total Months Sentenced to Confinement 0%.9 quantile,(All) Total Months Sentenced to Confinement 0%.95 quantile,(All) Total Months Sentenced to Confinement 0%.975 quantile,(All) Total Months Actually to Serve 0%.0%25 quantile,(All) Total Months Actually to Serve 0%.0%5 quantile,(All) Total Months Actually to Serve 0%.1 quantile,(All) Total Months Actually to Serve 0%.25 quantile,(All) Total Months Actually to Serve 0%.5 quantile,(All) Total Months Actually to Serve 0%.75 quantile,(All) Total Months Actually to Serve 0%.9 quantile,(All) Total Months Actually to Serve 0%.95 quantile,(All) Total Months Actually to Serve 0%.975 quantile,(Enhanced/Non-Attempt) Total Months Sentenced to Confinement 0%.0%25 quantile,(Enhanced/Non-Attempt) Total Months Sentenced to Confinement 0%.0%5 quantile,(Enhanced/Non-Attempt) Total Months Sentenced to Confinement 0%.1 quantile,(Enhanced/Non-Attempt) Total Months Sentenced to Confinement 0%.25 quantile,(Enhanced/Non-Attempt) Total Months Sentenced to Confinement 0%.5 quantile,(Enhanced/Non-Attempt) Total Months Sentenced to Confinement 0%.75 quantile,(Enhanced/Non-Attempt) Total Months Sentenced to Confinement 0%.9 quantile,(Enhanced/Non-Attempt) Total Months Sentenced to Confinement 0%.95 quantile,(Enhanced/Non-Attempt) Total Months Sentenced to Confinement 0%.975 quantile,(Enhanced/Non-Attempt) Total Months Actually to Serve 0%.0%25 quantile,(Enhanced/Non-Attempt) Total Months Actually to Serve 0%.0%5 quantile,(Enhanced/Non-Attempt) Total Months Actually to Serve 0%.1 quantile,(Enhanced/Non-Attempt) Total Months Actually to Serve 0%.25 quantile,(Enhanced/Non-Attempt) Total Months Actually to Serve 0%.5 quantile,(Enhanced/Non-Attempt) Total Months Actually to Serve 0%.75 quantile,(Enhanced/Non-Attempt) Total Months Actually to Serve 0%.9 quantile,(Enhanced/Non-Attempt) Total Months Actually to Serve 0%.95 quantile,(Enhanced/Non-Attempt) Total Months Actually to Serve 0%.975 quantile,(Unenhanced/Non-Attempt) Total Months Sentenced to Confinement 0%.0%25 quantile,(Unenhanced/Non-Attempt) Total Months Sentenced to Confinement 0%.0%5 quantile,(Unenhanced/Non-Attempt) Total Months Sentenced to Confinement 0%.1 quantile,(Unenhanced/Non-Attempt) Total Months Sentenced to Confinement 0%.25 quantile,(Unenhanced/Non-Attempt) Total Months Sentenced to Confinement 0%.5 quantile,(Unenhanced/Non-Attempt) Total Months Sentenced to Confinement 0%.75 quantile,(Unenhanced/Non-Attempt) Total Months Sentenced to Confinement 0%.9 quantile,(Unenhanced/Non-Attempt) Total Months Sentenced to Confinement 0%.95 quantile,(Unenhanced/Non-Attempt) Total Months Sentenced to Confinement 0%.975 quantile,(Unenhanced/Non-Attempt) Total Months Actually to Serve 0%.0%25 quantile,(Unenhanced/Non-Attempt) Total Months Actually to Serve 0%.0%5 quantile,(Unenhanced/Non-Attempt) Total Months Actually to Serve 0%.1 quantile,(Unenhanced/Non-Attempt) Total Months Actually to Serve 0%.25 quantile,(Unenhanced/Non-Attempt) Total Months Actually to Serve 0%.5 quantile,(Unenhanced/Non-Attempt) Total Months Actually to Serve 0%.75 quantile,(Unenhanced/Non-Attempt) Total Months Actually to Serve 0%.9 quantile,(Unenhanced/Non-Attempt) Total Months Actually to Serve 0%.95 quantile,(Unenhanced/Non-Attempt) Total Months Actually to Serve 0%.975 quantile,(Has Consecutive Sentence in Case) Total Months Sentenced to Confinement 0%.0%25 quantile,(Has Consecutive Sentence in Case) Total Months Sentenced to Confinement 0%.0%5 quantile,(Has Consecutive Sentence in Case) Total Months Sentenced to Confinement 0%.1 quantile,(Has Consecutive Sentence in Case) Total Months Sentenced to Confinement 0%.25 quantile,(Has Consecutive Sentence in Case) Total Months Sentenced to Confinement 0%.5 quantile,(Has Consecutive Sentence in Case) Total Months Sentenced to Confinement 0%.75 quantile,(Has Consecutive Sentence in Case) Total Months Sentenced to Confinement 0%.9 quantile,(Has Consecutive Sentence in Case) Total Months Sentenced to Confinement 0%.95 quantile,(Has Consecutive Sentence in Case) Total Months Sentenced to Confinement 0%.975 quantile,(Has Consecutive Sentence in Case) Total Months Actually to Serve 0%.0%25 quantile,(Has Consecutive Sentence in Case) Total Months Actually to Serve 0%.0%5 quantile,(Has Consecutive Sentence in Case) Total Months Actually to Serve 0%.1 quantile,(Has Consecutive Sentence in Case) Total Months Actually to Serve 0%.25 quantile,(Has Consecutive Sentence in Case) Total Months Actually to Serve 0%.5 quantile,(Has Consecutive Sentence in Case) Total Months Actually to Serve 0%.75 quantile,(Has Consecutive Sentence in Case) Total Months Actually to Serve 0%.9 quantile,(Has Consecutive Sentence in Case) Total Months Actually to Serve 0%.95 quantile,(Has Consecutive Sentence in Case) Total Months Actually to Serve 0%.975 quantile,(Only Conviction in Case) Total Months Sentenced to Confinement 0%.0%25 quantile,(Only Conviction in Case) Total Months Sentenced to Confinement 0%.0%5 quantile,(Only Conviction in Case) Total Months Sentenced to Confinement 0%.1 quantile,(Only Conviction in Case) Total Months Sentenced to Confinement 0%.25 quantile,(Only Conviction in Case) Total Months Sentenced to Confinement 0%.5 quantile,(Only Conviction in Case) Total Months Sentenced to Confinement 0%.75 quantile,(Only Conviction in Case) Total Months Sentenced to Confinement 0%.9 quantile,(Only Conviction in Case) Total Months Sentenced to Confinement 0%.95 quantile,(Only Conviction in Case) Total Months Sentenced to Confinement 0%.975 quantile,(Only Conviction in Case) Total Months Actually to Serve 0%.0%25 quantile,(Only Conviction in Case) Total Months Actually to Serve 0%.0%5 quantile,(Only Conviction in Case) Total Months Actually to Serve 0%.1 quantile,(Only Conviction in Case) Total Months Actually to Serve 0%.25 quantile,(Only Conviction in Case) Total Months Actually to Serve 0%.5 quantile,(Only Conviction in Case) Total Months Actually to Serve 0%.75 quantile,(Only Conviction in Case) Total Months Actually to Serve 0%.9 quantile,(Only Conviction in Case) Total Months Actually to Serve 0%.95 quantile,(Only Conviction in Case) Total Months Actually to Serve 0%.975 quantile,(> 1 Conviction and No Consecutive in Case) Total Months Sentenced to Confinement 0%.0%25 quantile,(> 1 Conviction and No Consecutive in Case) Total Months Sentenced to Confinement 0%.0%5 quantile,(> 1 Conviction and No Consecutive in Case) Total Months Sentenced to Confinement 0%.1 quantile,(> 1 Conviction and No Consecutive in Case) Total Months Sentenced to Confinement 0%.25 quantile,(> 1 Conviction and No Consecutive in Case) Total Months Sentenced to Confinement 0%.5 quantile,(> 1 Conviction and No Consecutive in Case) Total Months Sentenced to Confinement 0%.75 quantile,(> 1 Conviction and No Consecutive in Case) Total Months Sentenced to Confinement 0%.9 quantile,(> 1 Conviction and No Consecutive in Case) Total Months Sentenced to Confinement 0%.95 quantile,(> 1 Conviction and No Consecutive in Case) Total Months Sentenced to Confinement 0%.975 quantile,(> 1 Conviction and No Consecutive in Case) Total Months Actually to Serve 0%.0%25 quantile,(> 1 Conviction and No Consecutive in Case) Total Months Actually to Serve 0%.0%5 quantile,(> 1 Conviction and No Consecutive in Case) Total Months Actually to Serve 0%.1 quantile,(> 1 Conviction and No Consecutive in Case) Total Months Actually to Serve 0%.25 quantile,(> 1 Conviction and No Consecutive in Case) Total Months Actually to Serve 0%.5 quantile,(> 1 Conviction and No Consecutive in Case) Total Months Actually to Serve 0%.75 quantile,(> 1 Conviction and No Consecutive in Case) Total Months Actually to Serve 0%.9 quantile,(> 1 Conviction and No Consecutive in Case) Total Months Actually to Serve 0%.95 quantile,(> 1 Conviction and No Consecutive in Case) Total Months Actually to Serve 0%.975 quantile,% Time to Serve for All Offenses,% Time Imposed for All Offenses,% Time to Serve Modulated to Account for Concurrent Sentences,% Time Imposed Modulated to Account for Concurrent Sentences
22DC2101-Y,Abuse of a Vulnerable Adult or Elderly Person,22DC2101,First Degree Murder,PERSON,34,0.2,97.1,0,0,0,0,0,0,0,< 25,94.1,< 25,0,< 25,91.2,88.2,< 25,0,0,< 25,100.0,< 50,11.8,< 20,0.1,> 75 ,0,0,0,0,0,0,0,0,> 75 ,0,0,< 50,0,> 75 ,> 75 ,> 75 ,0,> 75 ,> 75 ,< 50,0,0,< 75,362.4,364.8,369.6,384,408,432,446.4,451.2,453.6,362.4,364.8,369.6,384,408,432,446.4,451.2,453.6,362.4,364.8,369.6,384,408,432,446.4,451.2,453.6,362.4,364.8,369.6,384,408,432,446.4,451.2,453.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,364.8,410.4,433.2,0,0,0,0,0,228,364.8,410.4,433.2,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,1.5,2.4,2.4
22DC2103,Accessory to a Crime After the Fact,22DC2103,Second Degree Murder,PERSON,36,0.2,97.2,0,0,0,0,0,0,0,< 25,100.0,0,0,< 25,83.3,75.0,< 25,0,0,0,100.0,83.3,83.3,30,0.6,96.7,0,0,0,0,0,0,0,< 25,100.0,0,0,93.3,< 25,83.3,73.3,< 25,0,100.0,< 25,66.7,< 25,0,0,0,0,0,145.5,204,240,258.6,277.2,296.2,0,0,0,145.5,195,240,258.6,277.2,296.2,0,0,0,180,216,240,261.6,283.2,300,0,0,0,180,204,240,261.6,283.2,300,0,0,0,0,90,195,222,231,235.5,0,0,0,0,90,195,222,231,235.5,169.2,170.4,172.8,180,180,180,216,228,234,169.2,170.4,172.8,180,180,180,216,228,234,0,0,0,169.5,222,243,258.6,266.7,292.3,0,0,0,169.5,210,240,258.6,266.7,292.3,0,0,0,0,12,228,264,276,282,0,0,0,0,0,228,264,276,282,14.2,9.5,14.7,14.7
22DC2001,Aggravated Assault,22DC2001,Kidnapping,PERSON,42,0.3,88.1,< 25,< 25,0,0,0,0,0,0,85.7,< 25,0,< 25,61.9,54.8,< 25,0,0,< 25,100.0,71.4,21.4,< 20,0.2,> 75 ,< 25,0,0,0,0,0,0,0,< 75,< 50,0,> 75 ,< 25,< 25,< 25,0,0,> 75 ,< 75,< 50,0,0,0,17.6,19.2,22.4,36,48,84,187.2,273.6,316.8,9.6,13.2,20.4,36,48,84,187.2,273.6,316.8,149.4,154.8,165.6,198,252,306,338.4,349.2,354.6,149.4,154.8,165.6,198,252,306,338.4,349.2,354.6,37.2,38.4,40.8,48,48,60,74.4,79.2,81.6,36,36,36,36,48,48,69.6,76.8,80.4,37.5,39,42,51,72,129,252,306,333,36,36,36,39,66,129,252,306,333,16.4,16.8,17.6,20,24,36,43.2,45.6,46.8,6.9,7.8,9.6,15,24,36,43.2,45.6,46.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,1.5,2.3,2.3
22DC3008,Aggravated Assault (Causes Serious Bodily Injury),22DC3008,First Degree Child Sexual Abuse,PERSON,26,0.2,< 75,< 50,0,0,0,0,0,0,0,96.2,< 25,0,< 25,< 50,0,< 50,0,0,0,100.0,< 75,26.9,< 20,0.1,< 75,< 50,0,0,0,0,0,0,0,> 75 ,0,0,> 75 ,< 50,< 25,0,< 25,0,> 75 ,< 50,< 50,< 25,0,0,5.4,10.8,21.6,48,156,174,228,264,282,2.3,4.5,9,22.5,156,174,228,264,282,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,168.6,169.2,170.4,174,180,240,276,288,294,168.6,169.2,170.4,174,180,240,276,288,294,64.8,69.6,79.2,108,156,168,175.2,177.6,178.8,36.3,42.6,55.2,93,156,168,175.2,177.6,178.8,8.4,16.8,33.6,84,168,234,273.6,286.8,293.4,8.4,16.8,33.6,84,168,234,273.6,286.8,293.4,36,36,36,36,36,36,36,36,36,15,15,15,15,15,15,15,15,15,2.4,1.7,2.5,2.5
22DC801(a),Aggravated Assault (Grave Risk),22DC801,Burglary,PROPERTY,47,0.3,95.7,< 25,0,0,0,0,0,< 25,0,97.9,< 25,0,< 25,46.8,< 50,< 25,0,0,0,100.0,83.0,25.5,< 20,0.2,> 75 ,< 25,0,0,0,0,0,0,0,> 75 ,< 25,0,> 75 ,< 25,< 25,< 25,0,0,> 75 ,> 75 ,< 25,< 25,0,0,18.6,22.2,29.4,51,60,66,138,241.2,300.6,4.9,6.8,11.4,46.5,60,66,138,241.2,300.6,149.4,154.8,165.6,198,252,306,338.4,349.2,354.6,149.4,154.8,165.6,198,252,306,338.4,349.2,354.6,44.1,46.2,50.4,54,60,60,67.2,75.6,79.8,29.2,34.5,45,54,60,60,67.2,75.6,79.8,20.4,25.8,36.6,54,60,60,187.2,273.6,316.8,7.2,11.4,19.8,54,60,60,187.2,273.6,316.8,28.8,29.6,31.2,36,44,52,56.8,58.4,59.2,11.2,12.5,15,22.5,35,47.5,55,57.5,58.8,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,2.7,1.9,2.8,2.9
22DC3002(a)(1),Arson,22DC3002,First Degree Sexual Abuse,PERSON,< 20,---,> 75 ,< 25,0,0,0,0,0,0,0,> 75 ,0,0,< 25,< 50,< 25,< 25,0,0,0,> 75 ,< 75,50.0,< 20,---,> 75 ,< 25,0,0,0,0,0,0,0,> 75 ,0,0,< 75,< 50,< 75,< 50,< 50,0,> 75 ,< 75,< 25,< 50,---,< 25,0,0,0,0,30,60,150,195,217.5,0,0,0,0,30,60,150,195,217.5,0,0,0,0,0,120,192,216,228,0,0,0,0,0,120,192,216,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,9,18,45,60,105,186,213,226.5,4.5,9,18,45,60,105,186,213,226.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,---,---,---,---
22DC2803(b)(1),Assault on a Police Officer (Significant bodily injury),22DC2803,Carjacking,PERSON,< 20,---,> 75 ,0,0,0,0,0,0,0,0,> 75 ,< 25,0,0,< 50,< 25,< 50,0,0,< 25,> 75 ,< 50,13.3,< 20,---,> 75 ,0,0,0,0,0,0,0,0,> 75 ,0,0,0,0,< 75,0,< 75,< 75,> 75 ,> 75 ,0,0,---,0,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,---,---,---,---
22DC401-U,Assault on a Police Officer (Simple assault),22DC401,"Assault With Intent to Kill, Rob, Commit Sexual Abuse",PERSON,61,0.4,90.2,< 25,0,0,0,0,0,< 25,< 25,85.2,< 25,< 25,< 25,86.9,85.2,< 25,< 25,0,< 25,100.0,80.3,16.4,< 20,0.2,> 75 ,< 25,0,0,0,0,0,0,0,> 75 ,0,0,< 75,0,< 75,< 75,0,0,> 75 ,< 75,< 25,< 25,0,0,60,60,60,75,90,165,180,180,180,46,50.1,58.2,75,90,165,180,180,180,98.4,100.8,105.6,120,180,180,180,180,180,98.4,100.8,105.6,120,180,180,180,180,180,60,60,60,60,72,84,84,84,84,43.8,45.6,49.2,60,72,84,84,84,84,61.5,63,66,75,90,159,180,180,180,61.5,63,66,75,90,159,180,180,180,60.6,61.2,62.4,66,72,78,81.6,82.8,83.4,43,44.1,46.2,52.5,63,73.5,79.8,81.9,82.9,121.5,123,126,135,150,165,174,177,178.5,121.5,123,126,135,150,165,174,177,178.5,3.1,2.1,2.8,2.8
22DC2105-Y,Assault with Intent to Commit Mayhem or with a Dangerous Weapon (Dangerous Weapon),22DC2105,Manslaughter,PERSON,43,0.3,93.0,< 25,0,< 25,0,0,0,0,0,95.3,< 25,0,0,< 50,< 50,< 25,0,0,< 25,100.0,97.7,97.7,42,0.8,92.9,< 25,0,< 25,0,0,0,0,0,95.2,< 25,0,97.6,0,< 50,< 50,< 25,< 25,100.0,< 25,69.0,< 25,0,0,0,0,0,0,78,120,142.8,149.7,167.6,0,0,0,0,78,120,142.8,149.7,167.6,0,0,0,67.5,120,141,155.4,169.8,174.9,0,0,0,67.5,120,141,155.4,169.8,174.9,0,0,0,0,42,91.5,102,117.3,125.1,0,0,0,0,42,91.5,102,117.3,125.1,49.8,51.6,55.2,66,90,114,117.6,118.8,119.4,49.8,51.6,55.2,66,90,114,117.6,118.8,119.4,0,0,0,36,96,132,145.2,160.8,171.6,0,0,0,36,96,132,145.2,160.8,171.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3,5.5,8.7,8.7
22DC404.01(a)(1),Assault With Intent to Kill,22DC404.01,Aggravated Assault,PERSON,59,0.4,93.2,< 25,0,0,0,0,0,0,0,93.2,< 25,0,< 25,64.4,61.0,< 25,0,< 25,< 25,100.0,79.7,50.8,30,0.6,93.3,< 25,0,0,0,0,0,0,0,90.0,< 25,0,80.0,0,< 75,< 75,< 25,< 25,100.0,< 50,< 50,< 25,0,0,0,0,21.6,42,69,96,121.2,132,134.2,0,0,0,36,69,94.5,121.2,132,134.2,19.2,38.4,48,72,96,120,132,133.6,136.8,0,0,28.8,72,90,120,132,133.6,136.8,0,0,4.8,30,42,54,64.8,68.4,70.2,0,0,4.8,30,36,48,64.8,68.4,70.2,42,42,42.6,61.5,96,120,130.8,132,132,42,42,42.6,61.5,84,120,130.8,132,132,0,0,2.4,33,63,75,105.6,122.4,131.2,0,0,2.4,33,60,75,105.6,122.4,131.2,3.8,7.5,15,31.5,42,57,75,82.5,86.2,0,0,0,7.5,33,54,75,82.5,86.2,5.5,3.8,5.3,5.3
