year,Social.Harm,Total_charge,Race,,,Social_Harm,Total_Black,count,,,,,,
2009_,DRUG,3603.863,Black,,,<fctr>,<dbl>,<int>,,Social_Harm,Total_Black,count,,
2019_,DRUG,768.116,Black,,,DRUG,3603.863,6,,<fctr>,<dbl>,<int>,,
2009_,GENERAL,26.992,Black,,,GENERAL,26.992,1,,DRUG,768.116,7,,
2019_,GENERAL,0,Black,,,GOVERNMENT,973.291,8,,GOVERNMENT,370.004,6,,
2009_,GOVERNMENT,973.291,Black,,,MOTOR VEHICLE,57.508,2,,MOTOR VEHICLE,23,1,,
2019_,GOVERNMENT,370.004,Black,,,PERSON,1681.062,13,,PERSON,1417.912,11,,
2009_,MOTOR VEHICLE,57.508,Black,,,PROPERTY,1265.569,12,,PROPERTY,934.301,8,,
2019_,MOTOR VEHICLE,23,Black,,,PUBLIC ORDER,343.092,3,,PUBLIC ORDER,150.005,2,,
2009_,PERSON,1681.062,Black,,,WEAPON,834.07,9,,WEAPON,513.962,7,,
2019_,PERSON,1417.912,Black,,,,,,,,,,,
2009_,PROPERTY,1265.569,Black,,,,,,,,,,,
2019_,PROPERTY,934.301,Black,,,,,,,,,,,
2009_,PUBLIC ORDER,343.092,Black,,,Social_Harm,Total_White,count,,Social_Harm,Total_White,count,,
2019_,PUBLIC ORDER,150.005,Black,,,<fctr>,<dbl>,<int>,,<fctr>,<dbl>,<int>,,
2009_,WEAPON,834.07,Black,,,DRUG,91.74,6,,DRUG,470.426,6,,
2019_,WEAPON,513.962,Black,,,GOVERNMENT,66.2,4,,GOVERNMENT,135.29,7,,
2009_,DRUG,470.426,White,,,MOTOR VEHICLE,5,1,,MOTOR VEHICLE,13.2,2,,
2019_,DRUG,91.74,White,,,PERSON,240.96,10,,PERSON,339.235,11,,
2009_,GENERAL,9,White,,,PROPERTY,116.614,7,,PROPERTY,225.243,11,,
2019_,GENERAL,0,White,,,PUBLIC ORDER,41,2,,PUBLIC ORDER,46.89,3,,
2009_,GOVERNMENT,135.29,White,,,WEAPON,81.884,6,,WEAPON,182.6,9,,
2019_,GOVERNMENT,66.2,White,,,,,,,,,,,
2009_,MOTOR VEHICLE,13.2,White,,,,,,,,,,,
2019_,MOTOR VEHICLE,5,White,,,Social_Harm,Total_Hispanic,count,,,,,,
2009_,PERSON,339.235,White,,,<fctr>,<dbl>,<int>,,,,,,
2019_,PERSON,240.96,White,,,DRUG,452.2,1,,,,,,
2009_,PROPERTY,225.243,White,,,GOVERNMENT,11.8,1,,,,,,
2019_,PROPERTY,116.614,White,,,PERSON,132.2,2,,,,,,
2009_,PUBLIC ORDER,46.89,White,,,PROPERTY,186.6,3,,,,,,
2019_,PUBLIC ORDER,41,White,,,WEAPON,11,1,,,,,,
2009_,WEAPON,182.6,White,,,,,,,,,,,
2019_,WEAPON,81.884,White,,,,,,,,,,,
2009_,DRUG,452.2,Hispanic,,,,,,,,,,,
2019_,DRUG,0,Hispanic,,,,,,,,,,,
2009_,GENERAL,0,Hispanic,,,,,,,,,,,
2019_,GENERAL,0,Hispanic,,,,,,,,,,,
2009_,GOVERNMENT,11.8,Hispanic,,,,,,,,,,,
2019_,GOVERNMENT,0,Hispanic,,,,,,,,,,,
2009_,MOTOR VEHICLE,0,Hispanic,,,,,,,,,,,
2019_,MOTOR VEHICLE,0,Hispanic,,,,,,,,,,,
2009_,PERSON,132.2,Hispanic,,,,,,,,,,,
2019_,PERSON,0,Hispanic,,,,,,,,,,,
2009_,PROPERTY,186.6,Hispanic,,,,,,,,,,,
2019_,PROPERTY,0,Hispanic,,,,,,,,,,,
2009_,PUBLIC ORDER,0,Hispanic,,,,,,,,,,,
2019_,PUBLIC ORDER,0,Hispanic,,,,,,,,,,,
2009_,WEAPON,11,Hispanic,,,,,,,,,,,
2019_,WEAPON,0,Hispanic,,,,,,,,,,,
2009_,DRUG,0,Asian,,,,,,,,,,,
2019_,DRUG,21.4,Asian,,,,,,,,,,,
2009_,GENERAL,0,Asian,,,,,,,,,,,
2019_,GENERAL,0,Asian,,,,,,,Social_Harm,Total_Asian,count,,
2009_,GOVERNMENT,0,Asian,,,,,,,<fctr>,<dbl>,<int>,,
2019_,GOVERNMENT,0,Asian,,,,,,,DRUG,21.4,2,,
2009_,MOTOR VEHICLE,0,Asian,,,,,,,PERSON,172.4,2,,
2019_,MOTOR VEHICLE,0,Asian,,,,,,,PROPERTY,114.8,1,,
2009_,PERSON,0,Asian,,,,,,,WEAPON,26.6,3,,
2019_,PERSON,172.4,Asian,,,,,,,,,,,
2009_,PROPERTY,0,Asian,,,,,,,,,,,
2019_,PROPERTY,114.8,Asian,,,,,,,,,,,
2009_,PUBLIC ORDER,63,Asian,,,,,,,,,,,
2019_,PUBLIC ORDER,0,Asian,,,,,,,,,,,
2009_,WEAPON,0,Asian,,,,,,,,,,,
2019_,WEAPON,26.6,Asian,,,,,,,,,,,
2009_,DRUG,0,Native American,,,,,,,,,,,
2019_,DRUG,0,Native American,,,,,,,,,,,
2009_,GENERAL,0,Native American,,,,,,,,,,,
2019_,GENERAL,0,Native American,,,,,,,,,,,
2009_,GOVERNMENT,0,Native American,,,,,,,,,,,
2019_,GOVERNMENT,0,Native American,,,,,,,,,,,
2009_,MOTOR VEHICLE,0,Native American,,,,,,,,,,,
2019_,MOTOR VEHICLE,0,Native American,,,,,,,,,,,
2009_,PERSON,0,Native American,,,,,,,,,,,
2019_,PERSON,0,Native American,,,,,,,,,,,
2009_,PROPERTY,0,Native American,,,,,,,,,,,
2019_,PROPERTY,114.8,Native American,,,,,,,,,,,
2009_,PUBLIC ORDER,0,Native American,,,,,,,,,,,
2019_,PUBLIC ORDER,0,Native American,,,,,,,,,,,
2009_,WEAPON,0,Native American,,,,,,,,,,,
2019_,WEAPON,0,Native American,,,,,,,,,,,
